N T
1 0.914549654
2 0.91571754
3 0.918544194
4 0.918918919
5 0.92
6 0.922059209
7 0.924485363
8 0.933333333
9 0.936524454
10  0.940145985
11  0.944343891
12  0.949206349
13  0.954798073
14  0.958333333
15  0.961734213
16  0.961849337
17  0.963190184
18  0.974501109
19  0.975982533
20  0.982269504
21  0.986622074
22  0.993381658
23  0.995354239
24  1
25  1
26  1
27  1
28  1.004013378
29  1.010814249
30  1.013513514
31  1.016463415
32  1.017193309
33  1.019770408
34  1.022359041
35  1.022727273
36  1.026041667
37  1.026666667
38  1.027972028
39  1.046666667
40  1.053231939
41  1.058035714
42  1.061622941
43  1.063291139
44  1.065217391
45  1.077010193
46  1.077756533
47  1.080991736
48  1.086316555
49  1.089294905
50  1.089877836
51  1.101492537
52  1.10845987
53  1.10855406
54  1.111111111
55  1.128205128
56  1.133333333
57  1.141361257
58  1.142076503
59  1.144
60  1.156926407
61  1.15896488
62  1.162790698
63  1.166666667
64  1.173469388
65  1.191528545
66  1.214634146
67  1.263157895
68  1.287769784
69  1.299115044
70  1.372693727
71  1.445714286
72  1.481927711
73  1.507246377
74  1.528301887
75  1.669642857
