N BASE_LCM GVN_LCM
1 0.89845257 0.874234153
2 0.900426768 0.887644468
3 0.918818848 0.900041782
4 0.931151604 0.918038414
5 0.932118368 0.921465355
6 0.934099614 0.935260939
7 0.945034844 0.936376528
8 0.948451078 0.940688149
9 0.979955139 0.950322512
10 0.987206725 0.954796532
11 0.988699345 0.955493368
12 0.990687729 0.969151
13 0.992062691 0.974208857
14 0.992188592 0.9757378
15 0.993799886 0.9798502
16 0.993878165 0.984447407
17 0.994800783 0.985567142
18 0.9989037 0.997633447
19 1.002904025 0.998636104
20 1.005788381 1.00039944
21 1.017895248 1.003626152
22 1.042867878 1.02050358
23 1.044102273 1.021740578
24 1.090854705 1.055785692
25 1.10078131 1.06755102
26 1.372753291 1.098465182
27 1.51759267 1.228785922
